"32.3 - Número médio mensal de contribuintes pessoas físicas, por sexo, segundo os grupos de idade - 2022/2024",,,,,
,,,,,
/ ANOS,,NÚMERO MÉDIO MENSAL DE CONTRIBUINTES PESSOAS FÍSICAS,,,
,,Total,Sexo,,
,,,Masculino,Feminino,Ignorado
TOTAL,2022.0,58272885,31236748,26960253,75884
,2023.0,60532508,32397067,28112041,23400
,2024.0,62180770,33230738,28926291,23740
Até 19 anos,2022.0,1279843,683859,589057,6927
,2023.0,1379548,735533,643945,70
,2024.0,1530144,809522,720578,43
20 a 24 anos,2022.0,5884867,3223538,2653205,8124
,2023.0,6026451,3298627,2727517,307
,2024.0,6127670,3343110,2784337,223
25 a 29 anos,2022.0,7712262,4147165,3559290,5808
,2023.0,7885474,4236091,3648833,550
,2024.0,8028426,4312968,3715066,392
30 a 34 anos,2022.0,7885038,4230728,3647461,6849
,2023.0,7961894,4262299,3698791,804
,2024.0,8027384,4290590,3736227,566
35 a 39 anos,2022.0,8122752,4357986,3757010,7756
,2023.0,8282050,4428387,3852044,1618
,2024.0,8363706,4458178,3904250,1278
40 a 44 anos,2022.0,7877521,4199604,3669127,8790
,2023.0,8206495,4364129,3839787,2579
,2024.0,8301650,4401244,3898122,2283
45 a 49 anos,2022.0,6323750,3345082,2973288,5381
,2023.0,6758028,3569219,3187001,1808
,2024.0,7086247,3733089,3351314,1845
50 a 54 anos,2022.0,5232354,2742603,2486585,3166
,2023.0,5471317,2863629,2606530,1158
,2024.0,5699018,2981312,2716524,1183
55 a 59 anos,2022.0,4186975,2176826,2008271,1878
,2023.0,4419284,2302465,2116136,683
,2024.0,4556774,2377535,2178552,687
60 a 64 anos,2022.0,2428106,1347149,1080087,871
,2023.0,2683598,1474650,1208655,292
,2024.0,2882947,1585305,1297285,357
65 a 69 anos,2022.0,872981,509756,362935,290
,2023.0,950282,559611,390524,148
,2024.0,1018073,604347,413579,147
70 anos e mais,2022.0,446531,272443,173930,157
,2023.0,494466,302185,192133,148
,2024.0,543779,333300,210317,162
Ignorada,2022.0,19905,9,7,19889
,2023.0,13621,243,144,13235
,2024.0,14953,239,141,14573
