Capítulo 1 - Benefícios,,,,,,,,,,,,,,,,,,,
"1.10 - Quantidade de beneficios emitidos, segundo os grupos de espécies - Posição em dezembro - 2005/2023",,,,,,,,,,,,,,,,,,,
(continua),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GRUPOS DE ESPÉCIES,QUANTIDADE DE BENEFÍCIOS EMITIDOS,,,,,,,,,,QUANTIDADE DE BENEFÍCIOS EMITIDOS,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TOTAL,23951320,24593390,25170283,26095625,27048356,28141263,29051423,30057265,31199043,32152518,32701562,33755917,34497835,35058564,35636157,36014002,36356543,37623943,39302525
BENEFÍCIOS DO RGPS,21158137,21644885,22066263,22776205,23534497,24426882,25176323,26032855,27009011,27818973,28276347,29183383,29804964,30278655,30865783,31239907,31522687,32412927,33504626
Previdenciários,20402333,20912090,21297610,21972664,22736409,23598754,24341783,25192966,26150959,26957844,27430418,28341869,28989841,29474311,30074761,30474857,30762418,31635687,32698439
Aposentadorias,13053959,13446661,13878747,14453455,15076295,15606264,16139303,16725927,17351730,17940405,18404135,19062228,19807974,20425962,21050364,21408965,21613852,22210078,22826720
Tempo de Contribuição,3703364,3791655,3943339,4117972,4316779,4486698,4672643,4862215,5064342,5254911,5434915,5725845,6042911,6259973,6510654,6689242,6723942,6861130,6949420
Idade,6676958,6915487,7182325,7500092,7856916,8161733,8457025,8798101,9165014,9508695,9763130,10100813,10471338,10800124,11120184,11402943,11648687,12087902,12604892
Invalidez,2673637,2739519,2753083,2835391,2902600,2957833,3009635,3065611,3122374,3176799,3206090,3235570,3293725,3365865,3419526,3316780,3241223,3261046,3272408
Pensão por Morte,5783244,5920592,6090410,6274676,6457846,6631064,6797204,6976263,7159242,7316534,7412165,7562550,7675576,7720433,7812881,7890937,8051497,8193454,8326936
Auxílios,1522003,1501906,1282412,1188984,1130431,1288126,1330811,1407703,1548284,1614821,1558098,1660767,1424421,1274295,1154788,1122754,1030962,1163764,1453363
Doença,1492875,1469184,1244350,1144696,1078270,1229261,1263029,1329207,1457433,1515525,1451649,1542737,1294118,1132033,1010263,988356,875884,998040,1271100
Reclusão,17740,18150,20308,22377,26645,29467,33245,37899,43203,44189,44134,46876,47522,45411,31755,13364,23010,19875,16755
Acidente,11388,14572,17754,21911,25516,29398,34537,40597,47648,55107,62315,71154,82781,96851,112770,121034,132068,145849,165508
Salário-Maternidade,40548,41001,44720,54552,71166,72763,74009,82716,91448,85903,55873,56201,81766,53536,56652,52137,66052,68342,91380
Outros,2579,1930,1321,997,671,537,456,357,255,181,147,123,104,85,76,64,55,49,40
Salário-Família,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abono de Permanência,2351,1748,1171,862,552,436,372,290,200,137,111,92,76,67,62,55,49,43,34
Vantagem de Servidor,227,182,150,135,119,101,84,67,55,44,36,31,28,18,14,9,6,6,6
Acidentários,755804,732795,768653,803541,798088,828128,834540,839889,858052,861129,845929,841514,815123,804344,791022,765050,760269,777240,806187
Aposentadoria por Invalidez,143660,147105,148701,153260,159766,166339,173759,181599,189161,196175,201124,206171,210877,215092,215252,208512,205360,206630,207804
Pensão por Morte,130181,129412,128846,127985,126740,125391,123930,122331,120606,118543,116339,114045,111688,108981,106603,103906,100501,98172,95721
Auxílios,481963,456278,491106,522296,511582,536398,536851,535959,548285,546411,528466,521298,492558,480271,469167,452632,454408,472438,502662
Doença,125335,100570,137723,170654,161541,183330,179098,175145,182030,175135,155606,152160,123345,107565,93912,75725,76698,84096,96701
Acidente,267608,269488,270776,272511,275448,281058,288673,295318,304373,312796,317664,322182,326271,332846,339954,346884,351327,364896,384660
Suplementar,89020,86220,82607,79131,74593,72010,69080,65496,61882,58480,55196,46956,42942,39860,35301,30023,26383,23446,21301
BENEFÍCIOS ASSISTENCIAIS,2793183,2940141,3096566,3311827,3504080,3703505,3863503,4012482,4178364,4322232,4414335,4562162,4683007,4770517,4761389,4765193,4825323,5202815,5789968
Amparos Assistenciais,2277365,2477485,2680823,2934472,3166845,3401541,3595337,3771842,3964192,4130432,4242726,4411550,4549478,4651924,4656512,4671104,4742587,5129032,5723715
Portador de Deficiência,1211761,1293645,1385107,1510682,1625625,1778345,1907511,2021721,2141846,2253822,2323808,2436608,2527257,2603082,2597372,2559866,2578296,2780078,3136880
Idoso,1065604,1183840,1295716,1423790,1541220,1623196,1687826,1750121,1822346,1876610,1918918,1974942,2022221,2048842,2059140,2111238,2164291,2348954,2586835
Pensão Mensal Vitalícia,17243,16247,15745,15261,14838,14284,13608,13020,12408,11784,11181,10661,10182,9551,8949,8273,7544,7036,6508
Rendas Mensais Vitalícias,498575,446409,399998,362094,322397,287680,254558,227620,201764,180016,160428,139951,123347,109042,95928,85816,75192,66747,59745
Invalidez,340715,310806,284033,261149,237307,215850,195018,177578,160614,145915,132460,118327,106373,95900,85880,77855,69246,62233,56210
Idade,157860,135603,115965,100945,85090,71830,59540,50042,41150,34101,27968,21624,16974,13142,10048,7961,5946,4514,3535
ENCARGOS PREV. UNIÃO - EPU,-,8364,7454,7593,9779,10876,11597,11928,11668,11313,10880,10372,9864,9392,8985,8902,8533,8201,7931
