Capítulo 5 - Contribuintes,,,,,,,,,,
5.1 - Quantidade de contribuintes pessoas físicas - 2003/2023,,,,,,,,,,
,,,,,,,,,,
ANOS,QUANTIDADE DE CONTRIBUINTES PESSOAS FÍSICAS,,,,,,,,,
,Total,"Trabalhadores
Empregados (I)",Outros Contribuintes (1),,,,Ambos,,,
,,,Total,GPS (II),GFIP (III),"GPS e GFIP
(IV)",Total,"(I) e (II)
conjuntamente","(I) e (III)
conjuntamente","(I) e (IV)
conjuntamente"
2003,39850452,30537383,8395885,4704900,2120751,1570234,917184,254569,580788,81827
2004,42084323,32200411,8766902,4592168,3850082,324652,1117010,256764,835901,24345
2005,45035035,34687001,9099704,4693028,4114667,292009,1248330,280717,943844,23769
2006,46676737,36158570,9262079,4725699,4275536,260844,1256088,277327,958280,20481
2007,49936338,38788600,9710280,4966598,4484207,259475,1437458,264257,1150856,22345
2008,53964928,42076251,10235457,5274811,4699830,260816,1653220,323299,1304610,25311
2009,55877835,43439321,10684737,5635715,4785919,263103,1753777,359217,1368463,26097
2010,60197924,46683012,11548708,6360555,4911110,277043,1966204,460542,1474535,31127
2011,64292255,49690560,12441787,7182932,4975675,283180,2159908,569239,1555705,34964
2012,67246063,51609519,13333407,8023899,5017088,292420,2303137,674815,1589045,39277
2013,69669481,53381148,13981592,8763938,4921607,296047,2306741,777048,1487843,41850
2014,71493806,54152097,14917515,9620911,4991018,305586,2424194,868199,1510790,45205
2015,69635082,52070934,14978934,9692463,4992135,294336,2585214,1059693,1479290,46231
2016,66652055,49424229,15027079,9785638,4926762,314679,2200747,821830,1333017,45900
2017,65232942,50218289,13247745,8094774,4840740,312231,1766908,702721,1025719,38468
2018,65549513,49766448,13410055,8304268,4790530,315257,2373010,1052824,1266031,54155
2019,67092219,50262554,14140095,9062325,4791277,286493,2689570,1291437,1343249,54884
2020,65576866,48518045,14415371,9485371,4688702,241298,2643450,1357551,1239950,45949
2021,69447394,50362250,15658472,10327257,5071252,259963,3426672,1749076,1617719,59877
2022,72735346,52836383,16119440,10957713,5118285,43442,3779523,2031265,1734081,14177
2023,73982758,53709072,16520583,11151669,5368859,55,3753103,2024540,1728538,25
,,,,,,,,,,
"FONTE: DATAPREV, CNIS, Tabulação Especial GFIP.",,,,,,,,,,
NOTA: As diferenças porventura existentes entre a soma das parcelas e totais são provenientes de arredondamento.,,,,,,,,,,
