ANO,CÓD.,SIGLA,LOCAL,POP_T,POP_H,POP_M,0-1_T,0-1_H,0-1_M,0-4_T,0-4_H,0-4_M,0-14_T,0-14_H,0-14_M,15-17_T,15-17_H,15-17_M,18-21_T,18-21_H,18-21_M,15-59_T,15-59_H,15-59_M,15-64_T,15-64_H,15-64_M,60+_T,60+_H,60+_M,65+_T,65+_H,65+_M,80+_T,80+_H,80+_M,P_H,P_M,P_0-1_T,P_0-1_H,P_0-1_M,P_0-4_T,P_0-4_H,P_0-4_M,P_0-14_T,P_0-14_H,P_0-14_M,P_15-17_T,P_15-17_H,P_15-17_M,P_18-21_T,P_18-21_H,P_18-21_M,P_15-59_T,P_15-59_H,P_15-59_M,P_15-64_T,P_15-64_H,P_15-64_M,P_60+_T,P_60+_H,P_60+_M,P_65+_T,P_65+_H,P_65+_M,P_80+_T,P_80+_H,P_80+_M
2000,0,BR,Brasil,174695935,85720706,88975229,3423475,1739603,1683872,17281547,8739233,8542314,52259915,26250061,26009854,10756025,5364807,5391218,13941492,6917914,7023578,107206099,52595172,54610927,111908697,54827057,57081640,15229921,6875473,8354448,10527323,4643588,5883735,2032255,815147,1217108,0.490685178221233,0.509314821778767,0.0195967639430191,0.00995789054851219,0.00963887339450686,0.098923578273301,0.0500253941226509,0.0488981841506501,0.299147859393523,0.150261429952563,0.14888642944096,0.0615699787175929,0.0307093980177615,0.0308605806998314,0.0798043297344039,0.0395997422607458,0.0402045874736582,0.613672544813364,0.301066948123321,0.312605596690043,0.640591305115371,0.313842774876244,0.326748530239127,0.0871795957931133,0.0393568001453497,0.0478227956477636,0.0602608354911063,0.0265809733924261,0.0336798620986802,0.0116330983889236,0.00466609025562043,0.00696700813330316
2001,0,BR,Brasil,177003743,86821427,90182316,3347313,1704785,1642528,17123682,8678327,8445355,51985452,26141862,25843590,10754345,5366865,5387480,14098490,6999422,7099068,109370030,53626935,55743095,114176772,55907994,58268778,15648261,7052630,8595631,10841519,4771571,6069948,2097640,840643,1256997,0.490506164041966,0.509493835958034,0.0189109729730405,0.00963134999919183,0.00927962297384864,0.0967419203106908,0.0490290592329451,0.0477128610777457,0.293696907867084,0.147691012387235,0.146005895479849,0.0607577264623155,0.0303206299993328,0.0304370964629827,0.0796508015087568,0.0395439208310979,0.0401068806776589,0.617896707415956,0.302970627010978,0.314926080404978,0.645052867610828,0.315857693472618,0.32919517413821,0.0884063847169605,0.0398445246437529,0.0485618600732076,0.0612502245220882,0.0269574581821131,0.0342927663399751,0.0118508228382492,0.00474929504739343,0.00710152779085581
2002,0,BR,Brasil,179228254,87882321,91345933,3274356,1671125,1603231,16906493,8586481,8320012,51668727,26015353,25653374,10710421,5346777,5363644,14194815,7052200,7142615,111483677,54633224,56850453,116386875,56959543,59427332,16075850,7233744,8842106,11172652,4907425,6265227,2173094,868422,1304672,0.490337427490646,0.509662572509354,0.0182691954361169,0.00932400423875133,0.00894519119736557,0.0943293963015452,0.0479080770378983,0.0464213192636469,0.288284496706641,0.145152075185646,0.143132421520995,0.0597585523541394,0.0298322216540702,0.0299263307000692,0.0791996500730292,0.0393475908100963,0.039852059262933,0.622020660871918,0.304824840842337,0.317195820029581,0.649377943502145,0.31780448522363,0.331573458278514,0.089694842421441,0.0403605114626626,0.0493343309587784,0.0623375597912146,0.0273808670813699,0.0349566927098447,0.0121247289503808,0.00484534095835135,0.00727938799202943
2003,0,BR,Brasil,181377654,88907299,92470355,3212295,1642237,1570058,16640256,8468239,8172017,51329911,25879671,25450240,10629257,5307637,5321620,14246042,7082812,7163230,113528885,55605887,57922998,118532883,57979191,60553692,16518858,7421741,9097117,11514860,5048437,6466423,2256815,898154,1358661,0.490177797756718,0.509822202243282,0.0177105334045174,0.00905424104779743,0.00865629235671997,0.0917436940715972,0.0466884360517752,0.045055258019822,0.283000192515446,0.142683899748753,0.140316292766693,0.0586029026486361,0.0292629046795368,0.0293399979690993,0.0785435343650437,0.0390500805573326,0.0394934538077111,0.625925424087799,0.306575180424376,0.319350243663423,0.65351425815663,0.319660055808198,0.333854202348433,0.0910743833967552,0.0409187175835894,0.0501556658131657,0.0634855493279233,0.0278338421997673,0.0356517071281559,0.012442629785034,0.00495184483971769,0.00749078494531636
2004,0,BR,Brasil,183469593,89905311,93564282,3163041,1619035,1544006,16343284,8332757,8010527,50980818,25739832,25240986,10528236,5258751,5269485,14260614,7094509,7166105,115497445,56542251,58955194,120624088,58972565,61651523,16991330,7623228,9368102,11864687,5192914,6671773,2348541,930109,1418432,0.490028399419843,0.509971600580157,0.0172401374433746,0.00882454129606098,0.00841559614731363,0.0890789788801679,0.0454176458548093,0.0436613330253586,0.27787066601276,0.140294811685771,0.137575854326989,0.0573840919786637,0.0286627931855716,0.0287212987930921,0.0777273975857133,0.0386685819922215,0.0390588155934918,0.629518183975042,0.308183225762102,0.321334958212939,0.657460923238653,0.321429638752183,0.336031284486471,0.0926111500121985,0.0415503619719699,0.0510607880402286,0.0646684107485865,0.0283039489818893,0.0363644617666972,0.0128007097067033,0.00506955395055572,0.00773115575614756
2005,0,BR,Brasil,185518369,90883721,94634648,3123546,1599962,1523584,16051105,8197746,7853359,50617799,25593288,25024511,10431922,5212548,5219374,14232524,7083870,7148654,117394830,57445950,59948880,122678705,59949422,62729283,17505740,7844483,9661257,12221865,5341011,6880854,2447828,964612,1483216,0.489890685703473,0.510109314296527,0.0168368556539002,0.0086242780627292,0.00821257759117104,0.0865203003159218,0.0441883250924872,0.0423319752234346,0.272845213510906,0.137955546601426,0.13488966690948,0.0562312080266294,0.028097206913241,0.0281340011133884,0.0767175998620385,0.0381841972748262,0.0385334025872123,0.632793564501421,0.309651008197469,0.323142556303953,0.661275245471784,0.323145477847533,0.338129767624251,0.0943612219876728,0.042284130904579,0.0520770910830938,0.0658795410173103,0.0287896612545144,0.0370898797627959,0.0131945316962117,0.00519954980846129,0.00799498188775043
2006,0,BR,Brasil,187535030,91844283,95690747,3095244,1582374,1512870,15806173,8079575,7726598,50231567,25431450,24800117,10370229,5183529,5186700,14152653,7046617,7106036,119236470,58324524,60911946,124716555,60919378,63797177,18066993,8088309,9978684,12586908,5493455,7093453,2553428,1001592,1551836,0.489744678634173,0.510255321365827,0.016504884447455,0.00843775160299385,0.00806713284446111,0.0842838428639172,0.0430830176100966,0.0412008252538206,0.267851648835953,0.135609064610489,0.132242584225464,0.0552975569417618,0.0276403240503921,0.0276572328913697,0.0754667168048551,0.0375749373330412,0.0378917794718139,0.635809053913821,0.311006023781264,0.324803030132557,0.665030714528374,0.324842660061963,0.340188054466411,0.0963392972502257,0.0431295902424203,0.0532097070078054,0.0671176366356728,0.0292929539617212,0.0378246826739516,0.0136157388835568,0.00534082619124544,0.0082749126923114
2007,0,BR,Brasil,189458827,92758219,96700608,3013232,1540650,1472582,15551584,7953024,7598560,49754471,25223110,24531361,10355539,5177805,5177734,14036532,6990877,7045655,121032614,59182634,61849980,126742367,61884280,64858087,18671742,8352475,10319267,12961989,5650829,7311160,2662602,1039871,1622731,0.489595657635946,0.510404342364054,0.0159044160027445,0.00813184597622364,0.00777257002652085,0.082084240920588,0.0419775849240321,0.0401066559965559,0.26261363372634,0.133132408763409,0.129481224962931,0.0546585195526414,0.0273294471521245,0.0273290724005169,0.074087506094398,0.0368991886559078,0.0371883174384902,0.63883333342922,0.31237728501296,0.326456048416261,0.668970504076857,0.326637090390093,0.342333413686764,0.0985530328444396,0.0440859638595778,0.0544670689848618,0.0684158621968033,0.0298261584824443,0.038589703714359,0.0140537236620809,0.0054886384364662,0.00856508522561475
2008,0,BR,Brasil,191335196,93648115,97687081,2984981,1526476,1458505,15329999,7840625,7489374,49241553,24996233,24245320,10372877,5188176,5184701,13913392,6931555,6981837,122777342,60017317,62760025,128741904,62836794,65905110,19316301,8634565,10681736,13351739,5815088,7536651,2772225,1078074,1694151,0.489445313553289,0.510554686446711,0.0156007941163109,0.00797801989342306,0.00762277422288788,0.0801211659981261,0.04097847737329,0.0391426886248362,0.257357527676194,0.130641060936849,0.126716466739345,0.0542131150820783,0.0271156384630876,0.0270974766189907,0.0727173687375322,0.0362272866932438,0.0364900820442884,0.641687178139457,0.313676303443931,0.328010874695526,0.672860543650317,0.328412102496814,0.344448441153503,0.100955294184349,0.0451279491725088,0.0558273450118398,0.0697819286734888,0.0303921501196257,0.0393897785538631,0.014488839784605,0.00563447824831977,0.00885436153628525
2009,0,BR,Brasil,193174036,94518589,98655447,2968870,1518415,1450455,15140576,7742748,7397828,48713507,24760614,23952893,10393245,5200906,5192339,13814875,6884686,6930189,124461490,60824912,63636578,130694593,63767510,66927083,19999039,8933063,11065976,13765936,5990465,7775471,2880622,1115371,1765251,0.489292406770442,0.510707593229558,0.0153688873591687,0.00786034723631285,0.00750854012285585,0.0783779037468576,0.0400817219556359,0.0382961817912217,0.252174194879896,0.128177753660435,0.123996441219461,0.0538024944511694,0.0269234215306243,0.0268790729205451,0.071515175051786,0.0356398103107397,0.0358753647410463,0.64429719737284,0.31487105233956,0.32942614503328,0.676563971568105,0.330103937984709,0.346460033583395,0.103528607747265,0.0462436007704472,0.0572850069768175,0.0712618335519997,0.0310107151252977,0.040251118426702,0.0149120557795873,0.00577391777433278,0.0091381380052545
