ANO,CÓD.,SIGLA,LOCAL,POP_T,POP_H,POP_M,TCG_T,TCG_H,TCG_M,RS,NASC_T,NASC_H,NASC_M,OBT_T,OBT_H,OBT_M,TBN,TBM,TCV,e0_T,e0_H,e0_M,e60_T,e60_H,e60_M,TMI_T,TMI_H,TMI_M,5q0_T,5q0_H,5q0_M,45q15_T,45q15_H,45q15_M,20q60_T,20q60_H,20q60_M,TFT,TEF_10-14,TEF_15-19,TEF_20-24,TEF_25-29,TEF_30-34,TEF_35-39,TEF_40-44,TEF_45-49,TEF_50+,RDJ60,RDI60,RDT60,RDJ65,RDI65,RDT65,IE60,IE65,IE80,ID_M,ID_MED
2000,0,BR,Brasil,174695935,85720706,88975229,,,,96.3422145280458,3572865,1830005,1742860,1120106,649845,470261,20.4519069089959,6.41174621493053,14.0401606940654,71.1021851042547,67.3157327497415,75.0765535239616,20.1090018905812,18.3806586791756,21.7384118238042,28.1269745904994,31.6783630383305,24.4360675290779,32.5857960950239,36.5032888838031,28.5184731684245,184.652258915755,242.995289637908,125.020037188771,481.804338004502,558.136123857937,409.964486453929,2.3155517895268,0.00340633875409285,0.0887377481484527,0.136613523316925,0.111000078526686,0.0718350742063404,0.0374814729871583,0.0120692720346184,0.00164433207347749,0.000322517857609173,48.7471473054905,14.2062076151097,62.9533549206002,46.6987074293252,9.40706422486538,56.1057716541906,29.1426440322377,20.1441640308829,3.88874532229913,28.3145171695037,25.2869410147299
2001,0,BR,Brasil,177003743,86821427,90182316,1.32104275923763,1.2840783182537,1.35665512026948,96.2732283344775,3367915,1725024,1642891,1121413,650690,470723,19.0273659919158,6.33553268983696,12.6918333020788,71.5027966404542,67.7116967405035,75.47063290196,20.2558320641026,18.5091231929593,21.8969153299392,26.2017418015515,29.3051278841354,22.9634311080616,30.3142476167674,33.734281631787,26.7492626052405,180.955242536248,239.270845349815,121.476581047691,476.663467585237,553.857859560942,404.472953204765,2.14924203594853,0.00320426860201543,0.0829935977333381,0.12574996482242,0.102702679382631,0.0674092595486563,0.0350420085060016,0.0110149474858635,0.00144108480516517,0.000290596303615018,47.5317159554587,14.3076316244953,61.839347579954,45.5306723857984,9.49538054903146,55.0260529348299,30.1012310136305,20.8549095620059,4.03505196030613,28.5729423755745,25.5952232568131
2002,0,BR,Brasil,179228254,87882321,91345933,1.25675929915223,1.22192647213688,1.29029398624005,96.2082471695812,3281881,1680964,1600917,1128314,655185,473129,18.3111810038611,6.29540250947264,12.0157784943885,71.8244059159639,68.0042803386626,75.8167945961308,20.3610732224064,18.5834858027652,22.0289125696931,24.8421723427118,27.9301264887969,21.6061121689852,28.7456895691863,32.1131103741251,25.2200870941115,177.310864874769,235.36587887844,118.24493380598,472.555155433735,550.851422491067,399.619983107972,2.06661403313265,0.00316846886430691,0.0788373389459949,0.120664218724635,0.0983842786466494,0.0656201815897004,0.0345814809860948,0.0105874267095449,0.001240539104632,0.000238873054970569,46.3464503417841,14.419913688351,60.7663640301351,44.3939464823675,9.59958070873541,53.993527191103,31.1133076686794,21.6236254475555,4.20582066982219,28.845195858461,25.923453687501
2003,0,BR,Brasil,181377654,88907299,92470355,1.19925288118914,1.1663073850769,1.23094916552005,96.1468126730994,3240619,1659828,1580791,1138423,659593,478830,17.8666937659255,6.27653393289561,11.5901598330299,72.1035681076896,68.3081516474887,76.0575727459008,20.4403268928589,18.6534601515114,22.1119595112707,23.8655546002135,26.5232973386985,21.0724561200516,27.520593985127,30.4338891912785,24.4618356751499,173.779547220699,231.616765291187,115.086150381799,469.201151343352,547.535198382943,396.558642287325,2.01634532639523,0.00314941064592246,0.0765551785063242,0.116760074771947,0.0963384836682794,0.0648926583981186,0.0338397312500121,0.0102996517845422,0.001203328950815,0.000230547303085305,45.2130847581212,14.5503569422002,59.7634417003215,43.3043639038122,9.7144857262942,53.0188496301064,32.1817390254193,22.4330410391711,4.3966859790581,29.1282551598115,26.2782052954632
2004,0,BR,Brasil,183469593,89905311,93564282,1.15336093166141,1.12253100839337,1.18300292023319,96.0893506348929,3198352,1638175,1560177,1135112,656736,478376,17.4325998532084,6.18692166608774,11.2456781871206,72.587443501497,68.8151188422676,76.5027439912499,20.6296278934181,18.813127320562,22.3249125129504,22.0875117615489,24.3895136004066,19.663515092146,25.5236194716967,28.0420181160554,22.8739007359738,168.858849832781,225.848890672588,111.233166561535,461.349037074592,540.262817507717,388.474623271848,1.96995957136935,0.00301807424238468,0.0751899522913676,0.112238487304209,0.0935036289773127,0.0646579113556263,0.0337461187138926,0.0103691167431122,0.00104477389936769,0.000223850746597285,44.1402127986468,14.7114336598528,58.8516464584996,42.2642101136549,9.83608431509965,52.1002944287546,33.3288689090866,23.2728454847468,4.60671501975508,29.4202453918345,26.6502726624741
2005,0,BR,Brasil,185518369,90883721,94634648,1.11668422352689,1.08826718813086,1.14398996830862,96.0364125832644,3196677,1637315,1559362,1135769,655056,480713,17.231053815485,6.12213769516268,11.1089161203223,73.015394536527,69.2721161346767,76.8826977732892,20.8183910384132,19.0102624325249,22.4958739656696,20.7363759219854,22.9931782208225,18.3566331508572,23.9302502559532,26.3877566616405,21.3403295695742,164.565178143684,220.64476869611,108.051504970466,453.368904956143,531.584118959197,381.540257625482,1.94928267668919,0.00306754561232619,0.075499848343562,0.110394887749835,0.091900155988091,0.0642312704324593,0.0335205096553083,0.0100252655566234,0.00103420260989224,0.000182849389740162,43.1175708504369,14.9118491844999,58.0294200349368,41.2604608110267,9.9624991965802,51.2229600076069,34.5841588252385,24.1453900435299,4.83590367095969,29.7200749323103,27.0357185490466
2006,0,BR,Brasil,187535030,91844283,95690747,1.08704114361851,1.05691315169634,1.11597498624394,95.9803177207928,3105891,1590826,1515065,1133557,652036,481521,16.5616578406712,6.04450805804121,10.5171497826299,73.4913550552766,69.7818047877005,77.3041653534236,21.0439126005665,19.2359048592051,22.7124536722658,19.0601393249186,21.0146724805134,17.0083711328951,22.0451611647319,24.1739606563894,19.8104061061916,160.223393840418,215.354415103937,104.837902655667,444.19881882209,521.9243613859,373.152737880117,1.87984550086694,0.00317545791651596,0.0726322690710028,0.104554998653692,0.0882834831890158,0.0628945285003406,0.0334114098776759,0.00983493314850596,0.000997683114797862,0.000184336701841771,42.1276871078119,15.1522373985074,57.2799245063192,40.2765831689305,10.0924115487314,50.368994717662,35.9674087013849,25.0577649707802,5.08331344709991,30.0259408495575,27.4410222613295
2007,0,BR,Brasil,189458827,92758219,96700608,1.02583341362945,0.995092966211075,1.05533819273038,95.9230980222999,3023438,1548590,1474848,1148188,659540,488648,15.9582852267949,6.06035632216809,9.89792890462686,73.733527453868,70.0163539973319,77.5467924582258,21.1380529152195,19.3206284550948,22.8116106617123,17.9143772907052,19.8321627643008,15.9007563100772,20.7538425738858,22.8403004213182,18.5629282380932,158.141254237203,212.934497256248,103.20290895373,439.729244177474,517.657603513153,368.627564619967,1.81702088651371,0.00315571590984483,0.0697633123600956,0.0993731891876872,0.0860183986525921,0.061543262388793,0.0328548674251715,0.0095618056282389,0.000935784459711862,0.000197841290607284,41.108317300327,15.4270335762557,56.5353508765827,39.2563845679164,10.2270371832333,49.4834217511497,37.5277671025786,26.05190797828,5.35148288482456,30.3452775995494,27.8603880485094
2008,0,BR,Brasil,191335196,93648115,97687081,0.9903835201090951,0.959371589486868,1.02013112471848,95.8654041469414,3042230,1558216,1484014,1164760,667521,497239,15.9000020048585,6.08753655548036,9.81246544937817,73.9617467555156,70.2593999979259,77.7498384303874,21.2546132541115,19.4263393293807,22.9345820271539,17.0023956184751,18.5644797742914,15.3626293382221,19.7019828846369,21.4250495618241,17.893101941946,156.443263408366,210.933508993598,101.907523062261,434.543459840269,512.366172977121,363.673694617067,1.81683311554532,0.0032258334390717,0.0678012380508104,0.098461617386994,0.0868109874297592,0.0629285021012091,0.0335537606786512,0.00954475963015432,0.000888823770319355,0.00015110062209377,40.1063846128873,15.7327896868789,55.8391742997662,38.2482715184949,10.3709348589407,48.6192063774356,39.2276437747607,27.1147804781868,5.62984883925168,30.6677696663817,28.2908683656976
2009,0,BR,Brasil,193174036,94518589,98655447,0.961056846018016,0.92951577295497,0.9912938231822149,95.8067616884854,2986097,1529463,1456634,1185877,679206,506671,15.458066010486,6.13890471284661,9.3191612976394,74.1409498399448,70.4112083964707,77.9553762755059,21.3306150820269,19.4790578414571,23.0314028229294,16.201196861827,17.8383064346453,14.4820449274575,18.7973541154769,20.5988218342718,16.9055827356541,154.990935389955,209.371967061941,100.647572150317,430.659600565776,509.100454586021,359.254175371016,1.77279964643842,0.00320812372863883,0.0652079376569102,0.0965825692464424,0.0843364386121265,0.0618220054993505,0.0331016609232311,0.00936234387008342,0.000823558078342679,0.000115291672559352,39.1394213583655,16.0684553913022,55.2078767496677,37.2727791424393,10.5329039893793,47.8056831318186,41.0544020162621,28.2589713772815,5.9133948208656,30.9909543278373,28.7241541637863
