ano,populacao_total,populacao_15_64,populacao_60_mais,populacao_65_mais,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,razao_dependencia_idosos,indice_envelhecimento,idade_mediana
2005,185518369,122678705,17505740,12221865,0.661275245471784,0.0943612219876728,0.0658795410173103,14.9118491844999,34.5841588252385,27.0357185490466
2010,194749329,132415855,20718042,14211931,0.679929711080032,0.106383123918234,0.0729755068886527,16.4546772488077,43.0535695831698,29.1771712545837
2015,202403642,139904894,24917618,16997023,0.6912172756259,0.123108545645636,0.0839758752957617,18.8792289604084,54.7619194656906,31.4026984445338
2020,209164889,144790679,29979443,20585499,0.692232236931505,0.143329232469796,0.0984175647185221,22.1419246187879,68.4638627522057,33.5717801005236
2023,211695158,146375852,32981491,22792811,0.691446386317442,0.155797096691272,0.107668079021439,24.2177662665614,77.5551594364878,34.8087947097212
2030,216973093,148758847,41243737,29729196,0.685609652990475,0.190086874043871,0.137017892813096,30.0513283225025,107.168204276726,37.8535443875922
2040,220386440,148048781,53633215,39575688,0.671769011741376,0.243359868238717,0.179574060908648,40.0273998480528,163.705703176405,42.0366116320482
2050,218369418,137950440,65549776,50675679,0.631729668299981,0.300178370214826,0.232063992587094,53.2594440184171,220.385021849795,45.6876527426626
2060,211069036,126142315,73032189,58162074,0.597635339557812,0.346010908961559,0.275559480927368,65.6338141961784,272.868119650523,48.5651987186685
2070,199228708,113603532,75292150,61816833,0.570216677809305,0.377918176330291,0.310280750302311,75.1957377847992,316.242713741145,51.1686854683298
