ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2000,0,BR,Brasil,174695935,52259915,111908697,15229921,10527323,2032255,0.299147859393523,0.640591305115371,0.0871795957931133,0.0602608354911063,0.0116330983889236,,71.1021851042547,20.1090018905812,2.3155517895268,48.7471473054905,14.2062076151097,62.9533549206002,29.1426440322377,28.3145171695037,25.2869410147299
2001,0,BR,Brasil,177003743,51985452,114176772,15648261,10841519,2097640,0.293696907867084,0.645052867610828,0.0884063847169605,0.0612502245220882,0.0118508228382492,1.32104275923763,71.5027966404542,20.2558320641026,2.14924203594853,47.5317159554587,14.3076316244953,61.839347579954,30.1012310136305,28.5729423755745,25.5952232568131
2002,0,BR,Brasil,179228254,51668727,116386875,16075850,11172652,2173094,0.288284496706641,0.649377943502145,0.089694842421441,0.0623375597912146,0.0121247289503808,1.25675929915223,71.8244059159639,20.3610732224064,2.06661403313265,46.3464503417841,14.419913688351,60.7663640301351,31.1133076686794,28.845195858461,25.923453687501
2003,0,BR,Brasil,181377654,51329911,118532883,16518858,11514860,2256815,0.283000192515446,0.65351425815663,0.0910743833967552,0.0634855493279233,0.012442629785034,1.19925288118914,72.1035681076896,20.4403268928589,2.01634532639523,45.2130847581212,14.5503569422002,59.7634417003215,32.1817390254193,29.1282551598115,26.2782052954632
2004,0,BR,Brasil,183469593,50980818,120624088,16991330,11864687,2348541,0.27787066601276,0.657460923238653,0.0926111500121985,0.0646684107485865,0.0128007097067033,1.15336093166141,72.587443501497,20.6296278934181,1.96995957136935,44.1402127986468,14.7114336598528,58.8516464584996,33.3288689090866,29.4202453918345,26.6502726624741
2005,0,BR,Brasil,185518369,50617799,122678705,17505740,12221865,2447828,0.272845213510906,0.661275245471784,0.0943612219876728,0.0658795410173103,0.0131945316962117,1.11668422352689,73.015394536527,20.8183910384132,1.94928267668919,43.1175708504369,14.9118491844999,58.0294200349368,34.5841588252385,29.7200749323103,27.0357185490466
2006,0,BR,Brasil,187535030,50231567,124716555,18066993,12586908,2553428,0.267851648835953,0.665030714528374,0.0963392972502257,0.0671176366356728,0.0136157388835568,1.08704114361851,73.4913550552766,21.0439126005665,1.87984550086694,42.1276871078119,15.1522373985074,57.2799245063192,35.9674087013849,30.0259408495575,27.4410222613295
2007,0,BR,Brasil,189458827,49754471,126742367,18671742,12961989,2662602,0.26261363372634,0.668970504076857,0.0985530328444396,0.0684158621968033,0.0140537236620809,1.02583341362945,73.733527453868,21.1380529152195,1.81702088651371,41.108317300327,15.4270335762557,56.5353508765827,37.5277671025786,30.3452775995494,27.8603880485094
2008,0,BR,Brasil,191335196,49241553,128741904,19316301,13351739,2772225,0.257357527676194,0.672860543650317,0.100955294184349,0.0697819286734888,0.014488839784605,0.9903835201090953,73.9617467555156,21.2546132541115,1.81683311554532,40.1063846128873,15.7327896868789,55.8391742997662,39.2276437747607,30.6677696663817,28.2908683656976
2009,0,BR,Brasil,193174036,48713507,130694593,19999039,13765936,2880622,0.252174194879896,0.676563971568105,0.103528607747265,0.0712618335519997,0.0149120557795873,0.961056846018016,74.1409498399448,21.3306150820269,1.77279964643842,39.1394213583655,16.0684553913022,55.2078767496677,41.0544020162621,30.9909543278373,28.7241541637863
2010,0,BR,Brasil,194749329,48121543,132415855,20718042,14211931,2987938,0.247094782031316,0.679929711080032,0.106383123918234,0.0729755068886527,0.0153424816164578,0.815478639168665,74.3604259197093,21.4051862998347,1.74571102459612,38.2190777863864,16.4546772488077,54.6737550351941,43.0535695831698,31.3266962835081,29.1771712545837
2011,0,BR,Brasil,196158610,47523873,133940245,21475117,14694492,3095583,0.242272684334376,0.682816038510876,0.10947832980668,0.0749112771547474,0.0157810202672215,0.723638436772234,74.5367059052758,21.5150487782921,1.7696171333789,37.3733996688571,16.8883148597015,54.2617145285587,45.1880615874889,31.6646394313255,29.6376275267471
2012,0,BR,Brasil,197670620,46963290,135492473,22273483,15214857,3204689,0.237583561988119,0.685445682317382,0.112679785190131,0.0769707556944983,0.0162122676602117,0.770809907349967,74.7565388954452,21.6503889461581,1.75698467190251,36.5661319792126,17.3423778235032,53.9085098027158,47.4274332143255,31.9943632442697,30.0874528496664
2013,0,BR,Brasil,199226702,46410157,137041821,23115563,15774724,3318206,0.232951489605043,0.687868742614632,0.116026430031452,0.0791797677803249,0.0166554280459855,0.7872095509185989,74.9991901710197,21.8116626327031,1.7505649875546,35.7824253019148,17.8221958257803,53.6046211276951,49.8071208851976,32.3219073364975,30.5341647475806
2014,0,BR,Brasil,200811131,45905974,138534751,23998696,16370406,3437363,0.228602736170038,0.689875856533072,0.119508793563839,0.0815214072968893,0.0171173927604641,0.795289478816952,75.1981752438586,21.8772590201852,1.78994618138214,35.0677679690692,18.3327055186375,53.4004734877066,52.2779366363079,32.6415829210185,30.9726230191104
2015,0,BR,Brasil,202403642,45501725,139904894,24917618,16997023,3561931,0.224806849078338,0.6912172756259,0.123108545645636,0.0839758752957617,0.0175981566576752,0.793039206576651,75.3487176945349,21.9153369679256,1.82366084069548,34.4751044970887,18.8792289604084,53.3543334574971,54.7619194656906,32.9491130451101,31.4026984445338
2016,0,BR,Brasil,203871925,45102859,141113877,25871388,17655189,3694903,0.221231339234179,0.692169247923666,0.126900199720977,0.0865994128421557,0.0181236479716371,0.725423211505261,75.5531758399377,21.9914464652121,1.71855053311857,33.938033891006,19.4671482522065,53.4051821432125,57.3608604279387,33.2655005636504,31.840508474527
2017,0,BR,Brasil,205211557,44705195,142157814,26861890,18348548,3838238,0.217849304656852,0.692737855889861,0.130898524394511,0.0894128394532867,0.0187038101367751,0.657094889352705,75.7228398564015,22.1022493514845,1.75866754164944,33.4508373829334,20.0995144789827,53.5503518619161,60.0867304124275,33.591842383419,32.2879434803493
2018,0,BR,Brasil,206529038,44400860,143049781,27889518,19078397,3988955,0.214986039880745,0.692637618347886,0.135039209353215,0.0923763417713687,0.0193142573975481,0.642011112463803,75.9902268405237,22.2067809728665,1.77923455058482,33.076060205011,20.776070023345,53.852130228356,62.8130130812782,33.9111158354401,32.7288229005876
2019,0,BR,Brasil,207900099,44121683,143936438,28950761,19841978,4140204,0.21222540639579,0.692334629431802,0.139253233352236,0.0954399641724076,0.0199143916713575,0.663858706396536,76.2211006556923,22.254799621507,1.72939750347996,32.7245052211284,21.4724204763481,54.1969256974765,65.6157223195679,34.2274693048607,33.1588570117555
2020,0,BR,Brasil,209164889,43788711,144790679,29979443,20585499,4269699,0.209350198349973,0.692232236931505,0.143329232469796,0.0984175647185221,0.0204130770724144,0.608364308667309,74.8090053456845,21.1696147339719,1.66349379144432,32.3410390952189,22.1419246187879,54.4829637140068,68.4638627522057,34.5380401583556,33.5717801005236
2021,0,BR,Brasil,210103642,43395390,145458036,30903117,21250216,4356906,0.206542778539746,0.692315633443422,0.147085108596071,0.101141588016832,0.0207369370589016,0.448810029488267,72.7843019207654,20.0840385466633,1.63670199704343,31.9541599071346,22.7554849085788,54.7096448157133,71.2129030295614,34.8290491128183,33.9595256497703
2022,0,BR,Brasil,210862983,42984314,145928636,31864499,21950033,4440286,0.203849501645341,0.69205430902967,0.151114712248949,0.104096189324989,0.0210576836997511,0.361412583224041,75.448044104081,21.6193857538322,1.57625383660638,31.6028205002464,23.4273377545884,55.0301582548348,74.1305281736031,35.1394318745837,34.3645155433075
2023,0,BR,Brasil,211695158,42526495,146375852,32981491,22792811,4572930,0.200885534661119,0.691446386317442,0.155797096691272,0.107668079021439,0.0216014860387123,0.3946520096417269,76.3884546784577,22.4707736848205,1.57053296169407,31.2265056799917,24.2177662665614,55.4442719465531,77.5551594364878,35.4898990179076,34.8087947097212
2024,0,BR,Brasil,212583750,42054707,146815459,34169617,23713584,4751208,0.197826536600281,0.690624090505507,0.160734849206489,0.111549372894212,0.0223498174248972,0.419750743661318,76.6057109845871,22.5909397271293,1.54680260681053,30.8410707155661,25.0584928393582,55.8995635549243,81.2503984393471,35.8504918367467,35.2511418612686
2025,0,BR,Brasil,213421037,41584042,147170695,35370902,24666300,4956211,0.194845093925769,0.689579139286068,0.16573296848895,0.115575766788163,0.0232226919598371,0.3938621837275889,76.8177485210878,22.7076513090262,1.52847110399664,30.4720689849309,25.919187119983,56.3912561049139,85.0588357909027,36.2133286982389,35.6912944319663
2026,0,BR,Brasil,214211951,41060882,147504526,36570129,25646543,5184146,0.191683432265644,0.68859148759632,0.170719368500593,0.119725080138036,0.0242010120154314,0.370588584479603,77.0272472172583,22.8221434534438,1.51291796111521,30.0634056259973,26.7754263515832,56.8388319775805,89.063184273538,36.5767573584165,36.128295846246
2027,0,BR,Brasil,214959713,40484197,147827324,37756883,26648192,5429437,0.188333880963081,0.68769781061254,0.175646322155259,0.123968308424379,0.0252579282146697,0.349075761884077,77.23414186838,22.9350107435848,1.49970775122188,29.6113237176677,27.6164866276859,57.2278103453536,93.2632626997641,36.9397556183004,36.5630245486499
2028,0,BR,Brasil,215667282,39885987,148119414,38928026,27661881,5688584,0.184942225033466,0.686795941537391,0.180500378355953,0.128261833429143,0.0263766666285524,0.329163539588473,77.4386461242596,23.046586232741,1.48851452129397,29.1450743496672,28.4450830326896,57.5901573823567,97.5982517368819,37.3016013064049,36.9948896613702
