ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana,total_contribuintes,trabalhadores_empregados,outros_contribuintes,ambos,total_beneficios,beneficios_rgps,beneficios_previdenciarios,aposentadorias,contribuintes_por_beneficio,contribuintes_por_aposentadoria,percentual_contribuintes_populacao_15_64
2005,0,BR,Brasil,185518369,50617799,122678705,17505740,12221865,2447828,0.272845213510906,0.661275245471784,0.0943612219876728,0.0658795410173103,0.0131945316962117,1.11668422352689,73.015394536527,20.8183910384132,1.94928267668919,43.1175708504369,14.9118491844999,58.0294200349368,34.5841588252385,29.7200749323103,27.0357185490466,45035035,34687001,9099704,1248330,23951320,21158137,20402333,13053959,1.8802736133123352,3.4499139303256583,36.709741107880134
2006,0,BR,Brasil,187535030,50231567,124716555,18066993,12586908,2553428,0.267851648835953,0.665030714528374,0.0963392972502257,0.0671176366356728,0.0136157388835568,1.08704114361851,73.4913550552766,21.0439126005665,1.87984550086694,42.1276871078119,15.1522373985074,57.2799245063192,35.9674087013849,30.0259408495575,27.4410222613295,46676737,36158570,9262079,1256088,24593390,21644885,20912090,13446661,1.8979383078136036,3.471251115797446,37.42625588078503
2007,0,BR,Brasil,189458827,49754471,126742367,18671742,12961989,2662602,0.26261363372634,0.668970504076857,0.0985530328444396,0.0684158621968033,0.0140537236620809,1.02583341362945,73.733527453868,21.1380529152195,1.81702088651371,41.108317300327,15.4270335762557,56.5353508765827,37.5277671025786,30.3452775995494,27.8603880485094,49936338,38788600,9710280,1437458,25170283,22066263,21297610,13878747,1.9839402679739437,3.5980436850675352,39.39987802184569
2008,0,BR,Brasil,191335196,49241553,128741904,19316301,13351739,2772225,0.257357527676194,0.672860543650317,0.100955294184349,0.0697819286734888,0.014488839784605,0.9903835201090953,73.9617467555156,21.2546132541115,1.81683311554532,40.1063846128873,15.7327896868789,55.8391742997662,39.2276437747607,30.6677696663817,28.2908683656976,53964928,42076251,10235457,1653220,26095625,22776205,21972664,14453455,2.067968404665533,3.7337043634203724,41.91714299953183
2009,0,BR,Brasil,193174036,48713507,130694593,19999039,13765936,2880622,0.252174194879896,0.676563971568105,0.103528607747265,0.0712618335519997,0.0149120557795873,0.961056846018016,74.1409498399448,21.3306150820269,1.77279964643842,39.1394213583655,16.0684553913022,55.2078767496677,41.0544020162621,30.9909543278373,28.7241541637863,55877835,43439321,10684737,1753777,27048356,23534497,22736409,15076295,2.065849584351818,3.706337332879199,42.75451165757102
2010,0,BR,Brasil,194749329,48121543,132415855,20718042,14211931,2987938,0.247094782031316,0.679929711080032,0.106383123918234,0.0729755068886527,0.0153424816164578,0.815478639168665,74.3604259197093,21.4051862998347,1.74571102459612,38.2190777863864,16.4546772488077,54.6737550351941,43.0535695831698,31.3266962835081,29.1771712545837,60197924,46683012,11548708,1966204,28141263,24426882,23598754,15606264,2.1391336984413245,3.8572924307829215,45.46126594885484
2011,0,BR,Brasil,196158610,47523873,133940245,21475117,14694492,3095583,0.242272684334376,0.682816038510876,0.10947832980668,0.0749112771547474,0.0157810202672215,0.723638436772234,74.5367059052758,21.5150487782921,1.7696171333789,37.3733996688571,16.8883148597015,54.2617145285587,45.1880615874889,31.6646394313255,29.6376275267471,64292255,49690560,12441787,2159908,29051423,25176323,24341783,16139303,2.21305011461917,3.983583120039323,48.000699864331295
2012,0,BR,Brasil,197670620,46963290,135492473,22273483,15214857,3204689,0.237583561988119,0.685445682317382,0.112679785190131,0.0769707556944983,0.0162122676602117,0.770809907349967,74.7565388954452,21.6503889461581,1.75698467190251,36.5661319792126,17.3423778235032,53.9085098027158,47.4274332143255,31.9943632442697,30.0874528496664,67246063,51609519,13333407,2303137,30057265,26032855,25192966,16725927,2.2372648675786038,4.02046852171482,49.6308477593438
2013,0,BR,Brasil,199226702,46410157,137041821,23115563,15774724,3318206,0.232951489605043,0.687868742614632,0.116026430031452,0.0791797677803249,0.0166554280459855,0.7872095509185989,74.9991901710197,21.8116626327031,1.7505649875546,35.7824253019148,17.8221958257803,53.6046211276951,49.8071208851976,32.3219073364975,30.5341647475806,69669481,53381148,13981592,2306741,31199043,27009011,26150959,17351730,2.2330646808621664,4.0151316900389755,50.83811678188368
2014,0,BR,Brasil,200811131,45905974,138534751,23998696,16370406,3437363,0.228602736170038,0.689875856533072,0.119508793563839,0.0815214072968893,0.0171173927604641,0.795289478816952,75.1981752438586,21.8772590201852,1.78994618138214,35.0677679690692,18.3327055186375,53.4004734877066,52.2779366363079,32.6415829210185,30.9726230191104,71493806,54152097,14917515,2424194,32152518,27818973,26957844,17940405,2.2235834219889092,3.985072020391959,51.60712780290052
2015,0,BR,Brasil,202403642,45501725,139904894,24917618,16997023,3561931,0.224806849078338,0.6912172756259,0.123108545645636,0.0839758752957617,0.0175981566576752,0.793039206576651,75.3487176945349,21.9153369679256,1.82366084069548,34.4751044970887,18.8792289604084,53.3543334574971,54.7619194656906,32.9491130451101,31.4026984445338,69635082,52070934,14978934,2585214,32701562,28276347,27430418,18404135,2.129411494166548,3.7836650296251357,49.77315661309174
2016,0,BR,Brasil,203871925,45102859,141113877,25871388,17655189,3694903,0.221231339234179,0.692169247923666,0.126900199720977,0.0865994128421557,0.0181236479716371,0.725423211505261,75.5531758399377,21.9914464652121,1.71855053311857,33.938033891006,19.4671482522065,53.4051821432125,57.3608604279387,33.2655005636504,31.840508474527,66652055,49424229,15027079,2200747,33755917,29183383,28341869,19062228,1.974529532111363,3.496551137673938,47.23281396343465
