faixa_etaria,ano,total_contribuintes,masculino,feminino,ignorado
TOTAL,2022,58272885,31236748,26960253,75884
TOTAL,2023,60532508,32397067,28112041,23400
TOTAL,2024,62180770,33230738,28926291,23740
Até 19 anos,2022,1279843,683859,589057,6927
Até 19 anos,2023,1379548,735533,643945,70
Até 19 anos,2024,1530144,809522,720578,43
20 a 24 anos,2022,5884867,3223538,2653205,8124
20 a 24 anos,2023,6026451,3298627,2727517,307
20 a 24 anos,2024,6127670,3343110,2784337,223
25 a 29 anos,2022,7712262,4147165,3559290,5808
25 a 29 anos,2023,7885474,4236091,3648833,550
25 a 29 anos,2024,8028426,4312968,3715066,392
30 a 34 anos,2022,7885038,4230728,3647461,6849
30 a 34 anos,2023,7961894,4262299,3698791,804
30 a 34 anos,2024,8027384,4290590,3736227,566
35 a 39 anos,2022,8122752,4357986,3757010,7756
35 a 39 anos,2023,8282050,4428387,3852044,1618
35 a 39 anos,2024,8363706,4458178,3904250,1278
40 a 44 anos,2022,7877521,4199604,3669127,8790
40 a 44 anos,2023,8206495,4364129,3839787,2579
40 a 44 anos,2024,8301650,4401244,3898122,2283
45 a 49 anos,2022,6323750,3345082,2973288,5381
45 a 49 anos,2023,6758028,3569219,3187001,1808
45 a 49 anos,2024,7086247,3733089,3351314,1845
50 a 54 anos,2022,5232354,2742603,2486585,3166
50 a 54 anos,2023,5471317,2863629,2606530,1158
50 a 54 anos,2024,5699018,2981312,2716524,1183
55 a 59 anos,2022,4186975,2176826,2008271,1878
55 a 59 anos,2023,4419284,2302465,2116136,683
55 a 59 anos,2024,4556774,2377535,2178552,687
60 a 64 anos,2022,2428106,1347149,1080087,871
60 a 64 anos,2023,2683598,1474650,1208655,292
60 a 64 anos,2024,2882947,1585305,1297285,357
65 a 69 anos,2022,872981,509756,362935,290
65 a 69 anos,2023,950282,559611,390524,148
65 a 69 anos,2024,1018073,604347,413579,147
70 anos e mais,2022,446531,272443,173930,157
70 anos e mais,2023,494466,302185,192133,148
70 anos e mais,2024,543779,333300,210317,162
Ignorada,2022,19905,9,7,19889
Ignorada,2023,13621,243,144,13235
Ignorada,2024,14953,239,141,14573
