ano,total_beneficios,beneficios_rgps,beneficios_previdenciarios,aposentadorias
2005,23951320,21158137,20402333,13053959
2006,24593390,21644885,20912090,13446661
2007,25170283,22066263,21297610,13878747
2008,26095625,22776205,21972664,14453455
2009,27048356,23534497,22736409,15076295
2010,28141263,24426882,23598754,15606264
2011,29051423,25176323,24341783,16139303
2012,30057265,26032855,25192966,16725927
2013,31199043,27009011,26150959,17351730
2014,32152518,27818973,26957844,17940405
2015,32701562,28276347,27430418,18404135
2016,33755917,29183383,28341869,19062228
2017,34497835,29804964,28989841,19807974
2018,35058564,30278655,29474311,20425962
2019,35636157,30865783,30074761,21050364
2020,36014002,31239907,30474857,21408965
2021,36356543,31522687,30762418,21613852
2022,37623943,32412927,31635687,22210078
2023,39302525,33504626,32698439,22826720
