ano,total_contribuintes,trabalhadores_empregados,outros_contribuintes,ambos
2003,39850452,30537383,8395885,917184
2004,42084323,32200411,8766902,1117010
2005,45035035,34687001,9099704,1248330
2006,46676737,36158570,9262079,1256088
2007,49936338,38788600,9710280,1437458
2008,53964928,42076251,10235457,1653220
2009,55877835,43439321,10684737,1753777
2010,60197924,46683012,11548708,1966204
2011,64292255,49690560,12441787,2159908
2012,67246063,51609519,13333407,2303137
2013,69669481,53381148,13981592,2306741
2014,71493806,54152097,14917515,2424194
2015,69635082,52070934,14978934,2585214
2016,66652055,49424229,15027079,2200747
2017,65232942,50218289,13247745,1766908
2018,65549513,49766448,13410055,2373010
2019,67092219,50262554,14140095,2689570
2020,65576866,48518045,14415371,2643450
2021,69447394,50362250,15658472,3426672
2022,72735346,52836383,16119440,3779523
2023,73982758,53709072,16520583,3753103
