ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais
2000,0,BR,Brasil,174695935,52259915,111908697,15229921,10527323,2032255,0.299147859393523,0.640591305115371,0.0871795957931133,0.0602608354911063,0.0116330983889236
2001,0,BR,Brasil,177003743,51985452,114176772,15648261,10841519,2097640,0.293696907867084,0.645052867610828,0.0884063847169605,0.0612502245220882,0.0118508228382492
2002,0,BR,Brasil,179228254,51668727,116386875,16075850,11172652,2173094,0.288284496706641,0.649377943502145,0.089694842421441,0.0623375597912146,0.0121247289503808
2003,0,BR,Brasil,181377654,51329911,118532883,16518858,11514860,2256815,0.283000192515446,0.65351425815663,0.0910743833967552,0.0634855493279233,0.012442629785034
2004,0,BR,Brasil,183469593,50980818,120624088,16991330,11864687,2348541,0.27787066601276,0.657460923238653,0.0926111500121985,0.0646684107485865,0.0128007097067033
2005,0,BR,Brasil,185518369,50617799,122678705,17505740,12221865,2447828,0.272845213510906,0.661275245471784,0.0943612219876728,0.0658795410173103,0.0131945316962117
2006,0,BR,Brasil,187535030,50231567,124716555,18066993,12586908,2553428,0.267851648835953,0.665030714528374,0.0963392972502257,0.0671176366356728,0.0136157388835568
2007,0,BR,Brasil,189458827,49754471,126742367,18671742,12961989,2662602,0.26261363372634,0.668970504076857,0.0985530328444396,0.0684158621968033,0.0140537236620809
2008,0,BR,Brasil,191335196,49241553,128741904,19316301,13351739,2772225,0.257357527676194,0.672860543650317,0.100955294184349,0.0697819286734888,0.014488839784605
2009,0,BR,Brasil,193174036,48713507,130694593,19999039,13765936,2880622,0.252174194879896,0.676563971568105,0.103528607747265,0.0712618335519997,0.0149120557795873
2010,0,BR,Brasil,194749329,48121543,132415855,20718042,14211931,2987938,0.247094782031316,0.679929711080032,0.106383123918234,0.0729755068886527,0.0153424816164578
2011,0,BR,Brasil,196158610,47523873,133940245,21475117,14694492,3095583,0.242272684334376,0.682816038510876,0.10947832980668,0.0749112771547474,0.0157810202672215
2012,0,BR,Brasil,197670620,46963290,135492473,22273483,15214857,3204689,0.237583561988119,0.685445682317382,0.112679785190131,0.0769707556944983,0.0162122676602117
2013,0,BR,Brasil,199226702,46410157,137041821,23115563,15774724,3318206,0.232951489605043,0.687868742614632,0.116026430031452,0.0791797677803249,0.0166554280459855
2014,0,BR,Brasil,200811131,45905974,138534751,23998696,16370406,3437363,0.228602736170038,0.689875856533072,0.119508793563839,0.0815214072968893,0.0171173927604641
2015,0,BR,Brasil,202403642,45501725,139904894,24917618,16997023,3561931,0.224806849078338,0.6912172756259,0.123108545645636,0.0839758752957617,0.0175981566576752
2016,0,BR,Brasil,203871925,45102859,141113877,25871388,17655189,3694903,0.221231339234179,0.692169247923666,0.126900199720977,0.0865994128421557,0.0181236479716371
2017,0,BR,Brasil,205211557,44705195,142157814,26861890,18348548,3838238,0.217849304656852,0.692737855889861,0.130898524394511,0.0894128394532867,0.0187038101367751
2018,0,BR,Brasil,206529038,44400860,143049781,27889518,19078397,3988955,0.214986039880745,0.692637618347886,0.135039209353215,0.0923763417713687,0.0193142573975481
