ano,codigo,sigla,local,populacao_total,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2000,0,BR,Brasil,174695935,,71.1021851042547,20.1090018905812,2.3155517895268,48.7471473054905,14.2062076151097,62.9533549206002,29.1426440322377,28.3145171695037,25.2869410147299
2001,0,BR,Brasil,177003743,1.32104275923763,71.5027966404542,20.2558320641026,2.14924203594853,47.5317159554587,14.3076316244953,61.839347579954,30.1012310136305,28.5729423755745,25.5952232568131
2002,0,BR,Brasil,179228254,1.25675929915223,71.8244059159639,20.3610732224064,2.06661403313265,46.3464503417841,14.419913688351,60.7663640301351,31.1133076686794,28.845195858461,25.923453687501
2003,0,BR,Brasil,181377654,1.19925288118914,72.1035681076896,20.4403268928589,2.01634532639523,45.2130847581212,14.5503569422002,59.7634417003215,32.1817390254193,29.1282551598115,26.2782052954632
2004,0,BR,Brasil,183469593,1.15336093166141,72.587443501497,20.6296278934181,1.96995957136935,44.1402127986468,14.7114336598528,58.8516464584996,33.3288689090866,29.4202453918345,26.6502726624741
2005,0,BR,Brasil,185518369,1.11668422352689,73.015394536527,20.8183910384132,1.94928267668919,43.1175708504369,14.9118491844999,58.0294200349368,34.5841588252385,29.7200749323103,27.0357185490466
2006,0,BR,Brasil,187535030,1.08704114361851,73.4913550552766,21.0439126005665,1.87984550086694,42.1276871078119,15.1522373985074,57.2799245063192,35.9674087013849,30.0259408495575,27.4410222613295
2007,0,BR,Brasil,189458827,1.02583341362945,73.733527453868,21.1380529152195,1.81702088651371,41.108317300327,15.4270335762557,56.5353508765827,37.5277671025786,30.3452775995494,27.8603880485094
2008,0,BR,Brasil,191335196,0.9903835201090953,73.9617467555156,21.2546132541115,1.81683311554532,40.1063846128873,15.7327896868789,55.8391742997662,39.2276437747607,30.6677696663817,28.2908683656976
2009,0,BR,Brasil,193174036,0.961056846018016,74.1409498399448,21.3306150820269,1.77279964643842,39.1394213583655,16.0684553913022,55.2078767496677,41.0544020162621,30.9909543278373,28.7241541637863
2010,0,BR,Brasil,194749329,0.815478639168665,74.3604259197093,21.4051862998347,1.74571102459612,38.2190777863864,16.4546772488077,54.6737550351941,43.0535695831698,31.3266962835081,29.1771712545837
2011,0,BR,Brasil,196158610,0.723638436772234,74.5367059052758,21.5150487782921,1.7696171333789,37.3733996688571,16.8883148597015,54.2617145285587,45.1880615874889,31.6646394313255,29.6376275267471
2012,0,BR,Brasil,197670620,0.770809907349967,74.7565388954452,21.6503889461581,1.75698467190251,36.5661319792126,17.3423778235032,53.9085098027158,47.4274332143255,31.9943632442697,30.0874528496664
2013,0,BR,Brasil,199226702,0.7872095509185989,74.9991901710197,21.8116626327031,1.7505649875546,35.7824253019148,17.8221958257803,53.6046211276951,49.8071208851976,32.3219073364975,30.5341647475806
2014,0,BR,Brasil,200811131,0.795289478816952,75.1981752438586,21.8772590201852,1.78994618138214,35.0677679690692,18.3327055186375,53.4004734877066,52.2779366363079,32.6415829210185,30.9726230191104
2015,0,BR,Brasil,202403642,0.793039206576651,75.3487176945349,21.9153369679256,1.82366084069548,34.4751044970887,18.8792289604084,53.3543334574971,54.7619194656906,32.9491130451101,31.4026984445338
2016,0,BR,Brasil,203871925,0.725423211505261,75.5531758399377,21.9914464652121,1.71855053311857,33.938033891006,19.4671482522065,53.4051821432125,57.3608604279387,33.2655005636504,31.840508474527
